PAGARIYA SUPER SHOPEE|||||||||||||
Kot Bazar, DHARANGAON|||||||||||||
ITEM Amount wise Stock Statement From Date 29/01/2026 To 29/01/2026|||||||||||||
Item Name|Size|MRP|Op.Stock|Op.Amt.|Stock In|In Amt.|Stock Out|Out Amt.|Cl.Stock|Cl. Amt.|Profit/Loss|G.P.%|Closing Rate
AXE TICKET INTENSE|17 ML|0|4|172.44|||||4|172.44|||43.11
AXIS PEN|PEN|0|6|54.78|||||6|54.78|||9.13
AYUR CLEANSING MILK 50ML|50 ML|0|1|20.16|||||1|20.16|||20.16
AYUR LIP BALM|5 GM|0|1|6.73|||||1|6.73|||6.73
AYUR MOISTURIZER|100 ML|0|7|237.32|||||7|237.32|||33.9028571428571
AYUR MOISTURIZER|50 ML|0|6|121.32|||||6|121.32|||20.22
AYUR SHAMPOO|1 LIT|0|3|724.12|||||3|724.12|||241.373333333333
AYUR SHAMPOO|500 ML|0|2|336.41|||||2|336.41|||168.205
AYUR SUNSCREEN LOTION SPF 30|100 ML|0|1|110.66|||||1|110.66|||110.66
AYUSH ANTI MARK|25 GM|0|1|51.52|||||1|51.52|||51.52
AYUSH CAVITY PASTE 40GM|40 GM|0|4|59.19|||||4|59.19|||14.7975
AYUSH COW GHEE SOSP|100 GM|0|1|23.31|||||1|23.31|||23.31
B NATURAL GUAVA|200 ML|0|1|12.5|||||1|12.5|||12.5
